原文,当前译文,状态,来源
Scroll of Charm,Scroll of Charm,pending,existing_corpus | exe:resource@0x54159C:csv
Scroll of Compress Atmosphere,Scroll of Compress Atmosphere,pending,existing_corpus | exe:blitz_string@0x194EF0 | exe:resource@0x54159C:csv
Scroll of Cure Disease,Scroll of Cure Disease,pending,existing_corpus | exe:resource@0x54159C:csv
Scroll of Dancing Lights,Scroll of Dancing Lights,pending,existing_corpus | exe:blitz_string@0x1942A4 | exe:resource@0x54159C:csv
Scroll of Deep Freeze,Scroll of Deep Freeze,pending,existing_corpus | exe:blitz_string@0x194DCC | exe:resource@0x54159C:csv
Scroll of Dehex,Scroll of Dehex,pending,existing_corpus | exe:blitz_string@0x1950B0 | exe:resource@0x54159C:csv
Scroll of Detox,Scroll of Detox,pending,existing_corpus | exe:resource@0x54159C:csv
Scroll of Divine Heal,Scroll of Divine Heal,pending,existing_corpus | exe:blitz_string@0x194124 | exe:resource@0x54159C:csv
Scroll of Element Armor,Scroll of Element Armor,pending,existing_corpus | exe:blitz_string@0x194E44 | exe:resource@0x54159C:csv
Scroll of Enchanted Weapon,Scroll of Enchanted Weapon,pending,existing_corpus | exe:blitz_string@0x194E80 | exe:resource@0x54159C:csv
Scroll of Enkindled Weapon,Scroll of Enkindled Weapon,pending,existing_corpus | exe:blitz_string@0x194E04 | exe:resource@0x54159C:csv
Scroll of Entangle,Scroll of Entangle,pending,existing_corpus | exe:resource@0x54159C:csv
Scroll of Fire Dart,Scroll of Fire Dart,pending,existing_corpus | exe:blitz_string@0x1B97C0 | exe:resource@0x54159C:csv
Scroll of Fireball,Scroll of Fireball,pending,existing_corpus | exe:blitz_string@0x194EC0 | exe:resource@0x54159C:csv
Scroll of Fleshboil,Scroll of Fleshboil,pending,existing_corpus | exe:blitz_string@0x1B978C | exe:resource@0x54159C:csv
Scroll of Gravedigger's Flame,Scroll of Gravedigger's Flame,pending,existing_corpus | exe:blitz_string@0x1941BC | exe:resource@0x54159C:csv
Scroll of Haste,Scroll of Haste,pending,existing_corpus | exe:blitz_string@0x194D38 | exe:resource@0x54159C:csv
Scroll of Invisibility,Scroll of Invisibility,pending,existing_corpus | exe:blitz_string@0x195078 | exe:resource@0x54159C:csv
Scroll of Leatherskin,Scroll of Leatherskin,pending,existing_corpus | exe:blitz_string@0x19415C | exe:resource@0x54159C:csv
Scroll of Lock Melt,Scroll of Lock Melt,pending,existing_corpus | exe:blitz_string@0x194970 | exe:resource@0x54159C:csv
Scroll of Lore,Scroll of Lore,pending,existing_corpus | exe:blitz_string@0x194194 | exe:resource@0x54159C:csv
Scroll of Mass Boil,Scroll of Mass Boil,pending,existing_corpus | exe:blitz_string@0x194FE4 | exe:resource@0x54159C:csv
Scroll of Nimbleness,Scroll of Nimbleness,pending,existing_corpus | exe:blitz_string@0x194D64 | exe:resource@0x54159C:csv
Scroll of Ogre Strength,Scroll of Ogre Strength,pending,existing_corpus | exe:blitz_string@0x194CC4 | exe:resource@0x54159C:csv
Scroll of Poison Spray,Scroll of Poison Spray,pending,existing_corpus | exe:blitz_string@0x194D00 | exe:resource@0x54159C:csv
Scroll of Portal,Scroll of Portal,pending,existing_corpus | exe:blitz_string@0x195018 | exe:resource@0x54159C:csv
Scroll of Predator Sight,Scroll of Predator Sight,pending,existing_corpus | exe:blitz_string@0x194934 | exe:resource@0x54159C:csv
Scroll of Reveal Map,Scroll of Reveal Map,pending,existing_corpus | exe:blitz_string@0x194270 | exe:resource@0x54159C:csv
Scroll of Smite,Scroll of Smite,pending,existing_corpus | exe:resource@0x54159C:csv
Scroll of Sonic Blast,Scroll of Sonic Blast,pending,existing_corpus | exe:blitz_string@0x194238 | exe:resource@0x54159C:csv
Scroll of Stoneskin,Scroll of Stoneskin,pending,existing_corpus | exe:blitz_string@0x194D98 | exe:resource@0x54159C:csv
Scroll of Sunder Flesh,Scroll of Sunder Flesh,pending,existing_corpus | exe:blitz_string@0x194C8C | exe:resource@0x54159C:csv
Scroll of Supernova,Scroll of Supernova,pending,existing_corpus | exe:blitz_string@0x195044 | exe:resource@0x54159C:csv
Scroll of Trapkill,Scroll of Trapkill,pending,existing_corpus | exe:blitz_string@0x1949A4 | exe:resource@0x54159C:csv
Scroll of Turn Undead,Scroll of Turn Undead,pending,existing_corpus | exe:resource@0x54159C:csv
Sealed Note,Sealed Note,pending,existing_corpus | exe:resource@0x54159C:csv
Sealed Urn,Sealed Urn,pending,existing_corpus | exe:blitz_string@0x1B5818 | exe:resource@0x54159C:csv
Secrets of Transference Circuits,Secrets of Transference Circuits,pending,existing_corpus | exe:resource@0x54159C:csv
Security Key,Security Key,pending,existing_corpus | exe:resource@0x54159C:csv
Serpent Venom,Serpent Venom,pending,existing_corpus | exe:blitz_string@0x194F38 | exe:resource@0x54159C:csv
Silver Key,Silver Key,pending,existing_corpus | exe:resource@0x54159C:csv
Silverware,Silverware,pending,existing_corpus | exe:resource@0x54159C:csv
Skinning Knife,Skinning Knife,pending,existing_corpus | exe:resource@0x54159C:csv
Skull,Skull,pending,existing_corpus | exe:blitz_string@0x1AF1E8 | exe:resource@0x54159C:csv
Skullsplitter,Skullsplitter,pending,existing_corpus | exe:resource@0x54159C:csv
Small Emerald,Small Emerald,pending,existing_corpus | exe:resource@0x54159C:csv
Small Ruby,Small Ruby,pending,existing_corpus | exe:resource@0x54159C:csv
Small Steel Shield,Small Steel Shield,pending,existing_corpus | exe:blitz_string@0x1944B4 | exe:resource@0x54159C:csv
Spices,Spices,pending,existing_corpus | exe:resource@0x54159C:csv
Spider Silk,Spider Silk,pending,existing_corpus | exe:blitz_string@0x1A52A0 | exe:resource@0x54159C:csv
Spiked Mace,Spiked Mace,pending,existing_corpus | exe:blitz_string@0x194568 | exe:resource@0x54159C:csv
Splint Mail Leggings,Splint Mail Leggings,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Arrow,Steel Arrow,pending,existing_corpus | exe:blitz_string@0x1945C4 | exe:resource@0x54159C:csv
Steel Battle Axe,Steel Battle Axe,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Bracers,Steel Bracers,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Chainmail Coif,Steel Chainmail Coif,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Claymore,Steel Claymore,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Dagger,Steel Dagger,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Double Battle Axe,Steel Double Battle Axe,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Falcata,Steel Falcata,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Full Helm,Steel Full Helm,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Gladius,Steel Gladius,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Kama,Steel Kama,pending,existing_corpus | exe:blitz_string@0x19458C | exe:resource@0x54159C:csv
Steel Long Sword,Steel Long Sword,pending,existing_corpus | exe:blitz_string@0x19453C | exe:resource@0x54159C:csv
Steel Plate Armor,Steel Plate Armor,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Plate Gauntlets,Steel Plate Gauntlets,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Plate Greaves,Steel Plate Greaves,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Plated Boots,Steel Plated Boots,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Ring Mail Jerkin,Steel Ring Mail Jerkin,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Scaled Armor,Steel Scaled Armor,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Short Sword,Steel Short Sword,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Spear,Steel Spear,pending,existing_corpus | exe:blitz_string@0x1B5768 | exe:resource@0x54159C:csv
Steel Throwing Dart,Steel Throwing Dart,pending,existing_corpus | exe:blitz_string@0x1945E8 | exe:resource@0x54159C:csv
Steel War Maul,Steel War Maul,pending,existing_corpus | exe:resource@0x54159C:csv
Steel Warhammer,Steel Warhammer,pending,existing_corpus | exe:resource@0x54159C:csv
Stiletto,Stiletto,pending,existing_corpus | exe:blitz_string@0x194520 | exe:resource@0x54159C:csv
Stone,Stone,pending,existing_corpus | exe:blitz_string@0x1A8E0C | exe:resource@0x54159C:csv
Stone Hand Axe,Stone Hand Axe,pending,existing_corpus | exe:resource@0x54159C:csv
Storage Key,Storage Key,pending,existing_corpus | exe:resource@0x54159C:csv
Strange Amulet,Strange Amulet,pending,existing_corpus | exe:blitz_string@0x1A2B0C | exe:resource@0x54159C:csv
Strongman's Belt,Strongman's Belt,pending,existing_corpus | exe:resource@0x54159C:csv
Studded Leather Belt,Studded Leather Belt,pending,existing_corpus | exe:blitz_string@0x1943B0 | exe:resource@0x54159C:csv
Studded Leather Boots,Studded Leather Boots,pending,existing_corpus | exe:resource@0x54159C:csv
Studded Leather Hauberk,Studded Leather Hauberk,pending,existing_corpus | exe:blitz_string@0x1944E4 | exe:resource@0x54159C:csv
Studded Leather Jerkin,Studded Leather Jerkin,pending,existing_corpus | exe:resource@0x54159C:csv
Studded Leather Leggings,Studded Leather Leggings,pending,existing_corpus | exe:resource@0x54159C:csv
Sulfur,Sulfur,pending,existing_corpus | exe:blitz_string@0x193F38 | exe:resource@0x54159C:csv
Survivalist's Cloak,Survivalist's Cloak,pending,existing_corpus | exe:resource@0x54159C:csv
Swordsman's Gauntlets,Swordsman's Gauntlets,pending,existing_corpus | exe:resource@0x54159C:csv
Tarnished Key,Tarnished Key,pending,existing_corpus | exe:resource@0x54159C:csv
Tattered Breeches,Tattered Breeches,pending,existing_corpus | exe:resource@0x54159C:csv
The Alchemist's Cookbook I,The Alchemist's Cookbook I,pending,existing_corpus | exe:resource@0x54159C:csv
The Alchemist's Cookbook II,The Alchemist's Cookbook II,pending,existing_corpus | exe:resource@0x54159C:csv
The Alchemist's Cookbook III,The Alchemist's Cookbook III,pending,existing_corpus | exe:resource@0x54159C:csv
The Art of Brewing,The Art of Brewing,pending,existing_corpus | exe:resource@0x54159C:csv
The Crimson Sky,The Crimson Sky,pending,existing_corpus | exe:resource@0x54159C:csv
The Goblins of Thaermore,The Goblins of Thaermore,pending,existing_corpus | exe:resource@0x54159C:csv
The Greatest Ranger,The Greatest Ranger,pending,existing_corpus | exe:resource@0x54159C:csv
The Holy Tasslar,The Holy Tasslar,pending,existing_corpus | exe:resource@0x54159C:csv
The Jewel of Thaermore,The Jewel of Thaermore,pending,existing_corpus | exe:resource@0x54159C:csv
The Legendary Swordsman,The Legendary Swordsman,pending,existing_corpus | exe:resource@0x54159C:csv
The Lumberjack,The Lumberjack,pending,existing_corpus | exe:resource@0x54159C:csv
The Orakur Are Watching,The Orakur Are Watching,pending,existing_corpus | exe:resource@0x54159C:csv
Thieves Softened Leather Boots,Thieves Softened Leather Boots,pending,existing_corpus | exe:resource@0x54159C:csv
Thin Key,Thin Key,pending,existing_corpus | exe:resource@0x54159C:csv
Thinking Cap,Thinking Cap,pending,existing_corpus | exe:resource@0x54159C:csv
Tin Ring,Tin Ring,pending,existing_corpus | exe:resource@0x54159C:csv
Torch,Torch,pending,existing_corpus | exe:blitz_string@0x194318 | exe:resource@0x54159C:csv
Torn Page,Torn Page,pending,existing_corpus | exe:resource@0x54159C:csv
Tower Shield,Tower Shield,pending,existing_corpus | exe:resource@0x54159C:csv
Trapper's Gloves,Trapper's Gloves,pending,existing_corpus | exe:resource@0x54159C:csv
Traveler's Shirt,Traveler's Shirt,pending,existing_corpus | exe:blitz_string@0x1B5BAC | exe:resource@0x54159C:csv
Tuber,Tuber,pending,existing_corpus | exe:resource@0x54159C:csv
Warlord's Plated Belt,Warlord's Plated Belt,pending,existing_corpus | exe:resource@0x54159C:csv
Weapon Fragments,Weapon Fragments,pending,existing_corpus | exe:resource@0x54159C:csv
Widget,Widget,pending,existing_corpus | exe:blitz_string@0x1AF218 | exe:resource@0x54159C:csv
This strange object doesn't seem to belong to this world,This strange object doesn't seem to belong to this world,pending,existing_corpus
Willow Sap,Willow Sap,pending,existing_corpus | exe:blitz_string@0x193EDC | exe:resource@0x54159C:csv
Wizard's Hat,Wizard's Hat,pending,existing_corpus | exe:blitz_string@0x1940A0 | exe:resource@0x54159C:csv
Wolves' Tooth Amulet,Wolves' Tooth Amulet,pending,existing_corpus | exe:resource@0x54159C:csv
Wooden Buckler,Wooden Buckler,pending,existing_corpus | exe:blitz_string@0x194778 | exe:resource@0x54159C:csv
Wooden Cudgel,Wooden Cudgel,pending,existing_corpus | exe:blitz_string@0x1947C8 | exe:resource@0x54159C:csv
Yew Longbow,Yew Longbow,pending,existing_corpus | exe:blitz_string@0x194330 | exe:resource@0x54159C:csv
Yew Short Bow,Yew Short Bow,pending,existing_corpus | exe:resource@0x54159C:csv
Zen Amulet,Zen Amulet,pending,existing_corpus | exe:resource@0x54159C:csv
"A historical account of the enslavement of Giants in Thaermore, by Mars Birchun. *The giants of Tharemore, now predominately residing in the Timberland Plains area, are not native to the region of Thaermore. It was the enslavement of these beings for work in the mines that brought them here. *First, a note concerning Giants: they are not the feeble-minded creatures of popular conception. They are, in fact, highly socialized beings equal to that of men or elves, though perhaps their primitive speech patterns and rituals make them appear less civilized. It was this prejudice that led to the giants' enslavement and eventual revolt of the race of giants. *During the late second century, great multitudes of giants were brought from the lands beyond Barrea and forced to work the mines, smashing rock and carrying ore. Their captors thought of them as nothing more than animals and worked them often to their death. However, as their numbers increased, the giants began to secretly organize a rebellion. By the time their captors knew of this plot, the giants had grown too numerous and unified to be suppressed. The revolt of 477 was a bloody uprising that ended with the freedom of the enslaved giants. Hundreds of humans were killed in the rebellion. *Although many to this day harbor ill feelings towards the giants, others now acknowledge the giant's right to freedom and no longer hold them responsible for the bloodshed incurred during the revolt. The giants themselves remain suspicious of humans and choose to stay in the lands they claimed after the revolt, though their numbers have steadily dwindled as many have left to return to their native homelands.","A historical account of the enslavement of Giants in Thaermore, by Mars Birchun. *The giants of Tharemore, now predominately residing in the Timberland Plains area, are not native to the region of Thaermore. It was the enslavement of these beings for work in the mines that brought them here. *First, a note concerning Giants: they are not the feeble-minded creatures of popular conception. They are, in fact, highly socialized beings equal to that of men or elves, though perhaps their primitive speech patterns and rituals make them appear less civilized. It was this prejudice that led to the giants' enslavement and eventual revolt of the race of giants. *During the late second century, great multitudes of giants were brought from the lands beyond Barrea and forced to work the mines, smashing rock and carrying ore. Their captors thought of them as nothing more than animals and worked them often to their death. However, as their numbers increased, the giants began to secretly organize a rebellion. By the time their captors knew of this plot, the giants had grown too numerous and unified to be suppressed. The revolt of 477 was a bloody uprising that ended with the freedom of the enslaved giants. Hundreds of humans were killed in the rebellion. *Although many to this day harbor ill feelings towards the giants, others now acknowledge the giant's right to freedom and no longer hold them responsible for the bloodshed incurred during the revolt. The giants themselves remain suspicious of humans and choose to stay in the lands they claimed after the revolt, though their numbers have steadily dwindled as many have left to return to their native homelands.",pending,existing_corpus | exe:resource@0x552770:line
"$, *You don't know who I am, but I know who you are. I'm sure you are very confused right now, but you must gather yourself quickly. I've hidden a few basic supplies for you- they are out back near the well. Hopefully you'll remember the secret spot. You need to find a man named Maddock in the village of Aridell, which is just a short walk northeast of here. He'll know who you are and he has been instructed to give you a small package upon your arrival. Be very careful- this land has been befouled and is not safe. If you wish to live, I suggest you stay on the main roads and paths- do not wander! *:E: *The name ""Maddock"" means nothing to you, nor does the initial ""E"". With nothing else to go on, perhaps finding this person named Maddock will be your best chance to make sense of this confusion.","$, *You don't know who I am, but I know who you are. I'm sure you are very confused right now, but you must gather yourself quickly. I've hidden a few basic supplies for you- they are out back near the well. Hopefully you'll remember the secret spot. You need to find a man named Maddock in the village of Aridell, which is just a short walk northeast of here. He'll know who you are and he has been instructed to give you a small package upon your arrival. Be very careful- this land has been befouled and is not safe. If you wish to live, I suggest you stay on the main roads and paths- do not wander! *:E: *The name ""Maddock"" means nothing to you, nor does the initial ""E"". With nothing else to go on, perhaps finding this person named Maddock will be your best chance to make sense of this confusion.",pending,existing_corpus | exe:resource@0x552770:line
"A guide to making simple elixirs and potions, by Senior Alchemist Uru Darkfrost. *This lesson book will give you recipes for the four most basic mixtures. All of these potions can be mixed by even the most novice alchemists, except for Keensight which requires just a bit more skill to get the right balance. *For Healing Elixirs and Mana Potions, you'll notice that the more skilled you are in Alchemy, the more potent your mixtures become."" *-------------- *Healing Elixir : Willow Sap and Sulfur *Mana Potion : Mandrake Root and Acid *Cat's Eyes Serum : Willow Sap and Bromine *Keensight : Ambergris and Acid","A guide to making simple elixirs and potions, by Senior Alchemist Uru Darkfrost. *This lesson book will give you recipes for the four most basic mixtures. All of these potions can be mixed by even the most novice alchemists, except for Keensight which requires just a bit more skill to get the right balance. *For Healing Elixirs and Mana Potions, you'll notice that the more skilled you are in Alchemy, the more potent your mixtures become."" *-------------- *Healing Elixir : Willow Sap and Sulfur *Mana Potion : Mandrake Root and Acid *Cat's Eyes Serum : Willow Sap and Bromine *Keensight : Ambergris and Acid",pending,existing_corpus | exe:resource@0x552770:line
